Operation Name,origin_id
AGROINDUSTRIAL Y COMERCIAL ARRIOLA E HIJOS S.A.,1274.0
AGROINDUSTRIAS UNIDAS DE MEXICO S.A. DE C.V.,962.0
Agroindustrias Unidas De México S.A. De C.V. (AMSA),212.0
AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV - BENEFICIO SECO DOS RIOS,988.0
AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV - REGION ALTOS-FRAYLESCA,932.0
AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV - SUCURSAL CORDOBA,235.0
AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV SUCURSAL TAPACHULA,1613.0
Agromix Industrial SAC,42.0
AGROPECUARIA BARLOVENTO SAS,129.0
Agropecuaria Berlin S.A.S.,1740.0
"Agropecuaria de loa Altos de Chiapas, S.P.R. DE R.I.",336.0
Agropecuaria Lum,1491.0
Agropecuaria Orgánica Tatamá S.A.S.,1568.0
Agropecuaria Popoyán S.A. Pegón Piloncito,1105.0
"Agropecuaria San Eduardo, S.A.",918.0
Agropecuaria Vallenata Ltda.,850.0
"Agropercuaria Internacional, S.A. - INTERAGRO, S.A.",328.0
"Agropur MSI, LLC",1376.0
"Agropur, Inc.",9.0
AGROSEC,1456.0
Ahmend Muhammed,73.0
"Aii, Inc.",239.0
Airport Coffee Mill Ltd,432.0
AKC Commodities Inc.,829.0
"Alakef Coffee Roasters, Inc.",258.0
"Alamode Foods, Inc",1593.0
Alaska Coffee Roasting Co.,1724.0
Alemayehu Alako - Member Of Gedeb Small Scale 15 Coffee Farmers,804.0
Alemayehu Daniel Miju,1267.0
Aleta Land Coffee P.L.C.,1426.0
Aletaland Dry Mill,1626.0
Ali Hussein Hulling Station,159.0
Alianza Sur,151.0
ALKALI Q S.A.C.,663.0
"All Ingredients Plus, Inc.",1017.0
"Allann Brothers Coffee Company, Inc.",243.0
Allegro Coffee Company,1464.0
Allegro Coffee Roasters,164.0
"Allen Flavors,  Inc.",641.0
Ally Coffee,1314.0
Almanac Coffee,1060.0
ALOE QUEEN INC.,437.0
"Alpen Sierra, Inc. Dba Alpen Sierra Coffee Company",585.0
ALPHA NATURALS E.I.R.L.,1622.0
Alta Organic Coffee Warehouse & Roasting Co. DBA Alta Organic Coffee & Tea Co.,892.0
Alvarado St. Bakery Production Facility,550.0
Amaro Gayo Coffee,934.0
AMARURU S.A.C,1142.0
Amavida Coffee And Trading Co.,482.0
AMAZON SPECIALTIES S.A.C.,25.0
America's Best Beverage,1800.0
Ameriqual Foods,70.0
"AMI Newco, LLC DBA Aloha Medicinals",1721.0
Ana Maria Gomes Mata EPP (Nat'organico Produtos Naturais),254.0
ANDEAN GRAINS PERÚ S.A.C.,419.0
Andean Nutrition E.I.R.L.,1051.0
Andina Foods Export E.I.R.L.,1578.0
"ANEPAAN O´ DEPÜT, Sociedad de Producción Rural de Responsabilidad Limitada de Capital Variable",1612.0
"Anhui Shengchen Food Co., Ltd.",1585.0
Ankole Coffee Producers Cooperative Union Ltd,710.0
Anodyne Coffee,1247.0
ANS PERUANA EIRL,1311.0
AO Madagascar Sarlu,837.0
Apagros Valle Verde,990.0
Apffels Coffee,500.0
APICAFI S.A.,1682.0
APROCACERCHIL Sociedad Anonima,1198.0
Aprocafe-ATITLAN,1093.0
Apro-Ori,1708.0
"ARBUCKLE COFFEE SERVICE, INC.",978.0
ARI SUPERFOODS S.A.C.,1588.0
Ariovaldo Rodrigues Do Santos (Sitio Ibipora),699.0
Arista Coffee Inc.Dba For Five Coffee Roasters,784.0
Armazens Gerais Boa Vista Ltda,1118.0
Armazéns Gerais Cooperfran LTDA (Cooperfran),563.0
Aroma Coffee LLC.,1033.0
A'roma Roasters,1366.0
ARRIBA CHOCOLATE COMPANY,308.0
"Arrow Brothers Agriculture Co., Ltd.",1560.0
Artizan Coffee Co.,694.0
Artizan Coffee Co.,837.0
Aryan International,1026.0
"Aseptic Technology, LLC",517.0
Asoc. Agro Artesanal De Producción De Bienes,1419.0
"Asoc. De Prod. De Café Organico De Pueblo Nuevo ""El Eden""",1650.0
Asociación Agraria Valle Del Inca - Cusco – Valleinca,1002.0
Asociacion Agricola Y Productores Organicos Shejuyu Atitlan-AAPOSA,1167.0
Asociación Agroartesanal De Productores,454.0
Asociación Agroartesanal De Productores,1443.0
ASOCIACION AGROECOLOGICA INDUSTRIAL MONTAÑA PERU,511.0
ASOCIACIÓN AGROEXPORTADORA,1674.0
Asociacion Agroexportadora De La Region San Martin,1727.0
"Asociación Agropecuaria Ambiental del Sur de Tolima, UNICHAPARRAL",1347.0
Asociación Agropecuaria Calama Mojsa – AGROCAM,991.0
ASOCIACION AGROPECUARIA CUENCA GRAN PLAYA PERENE,497.0
Asociación Agropecuaria de Aipecito,1372.0
Asociación Agropecuaria De Calama. Mojsa – AGROCAM,327.0
Asociación Agropecuaria De Producción Ecológico La “Montaña Verde”,604.0
ASOCIACION AGROPECUARIA DE PRODUCTORES DEL NORTE,1435.0
Asociación Agropecuaria-Artesanal De Productores,1135.0
Asociación Aldea Global Jinotega,458.0
Asociación Artesanal De Productores De Café,801.0
ASOCIACION BARILLENSE DE AGRICULTORES -ASOBAGRI,964.0
ASOCIACION CHAJULENSE VAL VA’Q QUYOL,1047.0
Asociacion Civil De Pequenos Caficultores Manos Campesinas,838.0
Asociación Cooperativa De Producción Agropecuaria Las Colinas De R.L. (ACPA Las Colinas De R.L.),291.0
Asociacion Cooperativa De Produccion Agropecuaria Las Lajas De R.L. - ACOPRA Las Lajas,1152.0
Asociación Coordinadora De Mujeres Campesinas De La Paz (COMUCAP),1480.0
Asociación Coordinadora De Mujeres Campesinas De La Paz (COMUCAP),1476.0
Asociación Coordinadora De Mujeres Campesinas De La Paz (COMUCAP),888.0
Asociación De Agricultores Agropecuarios Selva Central,24.0
Asociación De Agricultores Cafetaleros “San Ignacio”,561.0
ASOCIACION DE AGRICULTORES DE LA SIERRA NEVADA DE,1008.0
ASOCIACIÓN DE AGRICULTORES DE PERICO,942.0
Asociación De Agricultores Grano De Oro,332.0
Asociacion De Agricultores La Lima - La Coipa,963.0
Asociación De Agricultores Nuevo Amanecer Vergel,1054.0
ASOCIACION DE AGRICULTORES PRODUCTORES DE CAFE ESPECIALES Y SOSTENIBLES SELVA - CASELSO,846.0
Asociacion De Agricultores Y Productores Café Especial De Montalvo De Planadas – AGPROCEM,712.0
Asociación de Cabildos Indígenas Juan Tama,495.0
"Asociación de Cacaoteros Ecológicos de Tocache, BAMBAMARCA",1362.0
Asociación De Cafe Yanesha Ashaninka Andino Alto Puruz,1591.0
Asociación de Cafés diferenciados Brisas Nevado de la Vereda el Mirador CADIBRINE,743.0
ASOCIACIÓN DE CAFETALEROS NASAWE's SX FI'zni DE GAITANIA TOLIMA,786.0
Asociación De Cafetaleros Tabaconas Santuario,1600.0
Asociación De Cafetaleros Tabaconas Santuario,1462.0
Asociación De Caficultores ¿EL PANGUI¿,1567.0
"Asociación De Caficultores De Taipiplaya ""ASOCAFE""",119.0
Asociación De Caficultores Indígenas De San Pedro Resguardo Paez De Gaitania Tolima,990.0
Asociación De Caficultores Orgánicos De,1137.0
Asociación De Caficultores Taipiplaya “ASOCAFE”,847.0
ASOCIACION DE CAFICULTORES Y CACAOTEROS DE LA SELVA CENTRAL,2.0
Asociacion De Caficultores Y Cacaoteros De La Selva Central - ASOCASEL,990.0
Asociacion De Cooperacion Al Desarrollo Integral De Huehuetenango ACODIHUE,318.0
Asociación De Mujeres Amazilia Del Caribe,403.0
Asociación de Mujeres Cafeteras Emprendedoras de la Vereda La Estrella AGPROCEM ASMUCAES,960.0
Asociación De Pequeños Caficultores De La Marina ASOPECAM,1315.0
ASOCIACIÓN DE PEQUEÑOS CAFICULTORES DE OCAMONTE,714.0
Asociación De Pequeños Productores De Café Especial (APROCAE),1139.0
Asociación De Pequeños Productores De Café Especial (APROCAE),820.0
Asociación De Pequeños Productores De Café Especial (APROCAE),960.0
Asociación De Productoras Libres De Márcala APROLMA,1523.0
Asociación De Productoras Libres De Márcala APROLMA,628.0
Asociación De Productores Agrarios Del Anexo,301.0
Asociación de Productores Agrícolas y Pecuarios Ecológicos Brisas del Quebradon ASOBRIS,1294.0
Asociación De Productores Agroecológicos Cafés Del Valle,599.0
Asociación De Productores Agroecológicos De La,236.0
Asociación De Productores Agroecológicos De Yanaloma – “APAY”,736.0
Asociación De Productores Agroecológicos Indígenas,254.0
Asociación De Productores Agro-Ecológicos Machu Picchu,1706.0
Asociación De Productores Agropecuarios Bosque Y Agua,1621.0
Asociacion De Productores Agropecuarios BOSQUES DE NEBLINA DEL NORORIENTE,1421.0
Asociación De Productores Agropecuarios Bosques Verdes,377.0
Asociación De Productores Agropecuarios Café Solidario.,535.0
Asociación De Productores Agropecuarios De Café Aroma Del Valle Jaén,1380.0
Asociación de Productores Agropecuarios de Santa Rosa,533.0
"Asociacion De Productores Agropecuarios Ecologicos ""COFFEE GUAY APAE""",1608.0
ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS ECOLÓGICOS “COFFEE GUAY APAE”,220.0
ASOCIACION DE PRODUCTORES AGROPECUARIOS EL PORVENIR DE CIGAKIATO,473.0
Asociación De Productores Agropecuarios La Flor Del Bosque,719.0
Asociación De Productores Agropecuarios La Flor Del Café,189.0
Asociación De Productores Agropecuarios La Libertad Cuenca Perene – Rio Tambo -Satipo - II,1680.0
ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS LIMA COFFEE PERÚ,216.0
Asociación de Productores Agropecuarios Los Pinos (ASOPRAP),511.0
ASOCIACION DE PRODUCTORES AGROSOSTENIBLES VILLA ECOLOGICA,1518.0
ASOCIACION DE PRODUCTORES AMAZONAS - ALTO MAYO,34.0
Asociación De Productores Café De Lo Alto (APROCAL S De R.L.),715.0
ASOCIACIÓN DE PRODUCTORES CAFÉ DEL SOL,1550.0
Asociacion De Productores Cafe Pakamuros,43.0
"Asociación De Productores Cafés Especiales De Altura, Santa Maria. (CAFESA)",421.0
Asociación De Productores Cafetaleros Agropecuarios “La Cuenca Del Marañón ” El Palto,431.0
ASOCIACION DE PRODUCTORES CAFETALEROS ANDINOS SIERRA VERDE,732.0
Asociacion De Productores Cafetaleros Cocos Peru - Coffee,49.0
Asociacion De Productores Cafetaleros De La Cuenca Del Rio Marañon,969.0
Asociación De Productores Cafetaleros El Santuario,650.0
Asociación De Productores Cafetaleros El Santuario,388.0
Asociación De Productores Cafetaleros Erapuca Aprocaer,1271.0
Asociación De Productores Cafetaleros La Coipa Coffee,1681.0
Asociación De Productores Cafetaleros Selva Central - APROSELVA,976.0
Asociación De Productores Cafetaleros Selva Central (APROSELVA),1140.0
Asociacion De Productores Cafetaleros SELVAEXPORT,983.0
Asociacion De Productores Cafetaleros Shipago Coffee Amazonas,559.0
Asociación De Productores Certificados Corquín (APROCERC),1628.0
ASOCIACION DE PRODUCTORES CHIRINOS COFFEE PERU,507.0
Asociación de Productores Comercializadores Agropecuarios y de Cafés Especiales SURCAFES,72.0
Asociacion De Productores De Agropecuarios Sostenibles Del Valle De Huayabamba - APAS,1288.0
Asociación De Productores De Café “Visión Café Tours,1280.0
Asociación De Productores De Café Certificado Chiliquera. APROCACERCHIL S.A,809.0
Asociación De Productores De Café Corquín APROC,1026.0
Asociación De Productores De Café De Altura,869.0
Asociacion de Productores de Cafe de San Jose Poaquil - Azul,746.0
Asociacion De Productores De Café Del Campo “APROCAM”,1489.0
Asociación de Productores de Café Diferenciados y Especiales de Guatemala,539.0
Asociacion De Productores De Café Ecologico - APROCAFE,1489.0
Asociación De Productores De Café Ecológico Regional Larecaja - APCERL,1634.0
Asociación De Productores De Café Ecológico Regional Larecaja - APCERL,1422.0
Asociación de Productores de Café Especial de Dolores Tolima ALTAMICAFE,1378.0
Asociación de Productores de Café Especial de Guatemala - ASPROCEGUA -,737.0
Asociación de Productores de Café Especial Orquídea,36.0
Asociación De Productores De Café Pakamuros,1158.0
Asociación De Productores De Café San Andres ASOPROSAN,751.0
ASOCIACIÓN DE PRODUCTORES DE CAFÉ VISIÓN CAFÉ,1660.0
Asociación De Productores De Cafés De Alta Calidad De Los Municipios De Cachipay Y Zipacon CAFESAC,80.0
ASOCIACIÓN DE PRODUCTORES DE CAFES ESPECIALES CAFÉ MONTAÑA,1698.0
"Asociación de Productores de Cafés Especiales con fines ecológicos de Planadas - Tolima, Café del Macizo.",648.0
ASOCIACION DE PRODUCTORES DE CAFES ESPECIALES DEL ALTO SALDAÑA HERRERA RIOBLANCO TOLIMA ASOCEAS,110.0
ASOCIACION DE PRODUCTORES DE CAFES ORGANICOS Y CAFES ESPECIALES DE AMAZONAS - APROCOYCE AMAZONAS,575.0
ASOCIACION DE PRODUCTORES DE CAFES ORGANICOS Y CAFES ESPECIALES DE YANATILE - APROCOYCE-YANATILE,12.0
ASOCIACION DE PRODUCTORES DE LA SIERRA NEVADA,1337.0
Asociación De Productores De Origen Frutos,823.0
Asociación De Productores De Quinua Real Bolivia - APQUIRBOL,191.0
Asociación De Productores De Sistemas Agroforestales Con Cacao Orgánico - Olancho- APROSACAO,882.0
Asociación De Productores Del Pueblo Arhuaco De La Sierra Nevada De Santa Marta - Asoarhuaco,1203.0
ASOCIACIÓN DE PRODUCTORES DOS PINOS,98.0
Asociación De Productores Ecológicos “Café Del Alto Mayo” (APECAM).,476.0
ASOCIACIÓN DE PRODUCTORES ECOLÓGICOS AGROFORESTALES CALLE DE ORO,941.0
Asociación de Productores Ecológicos de Planadas,1254.0
ASOCIACIÒN DE PRODUCTORES ECOLÒGICOS SOL DEL VRAE,422.0
Asociacion De Productores Finkafe,753.0
ASOCIACION DE PRODUCTORES FINKAFE,1234.0
Asociación De Productores Green Cofee Del Perene,524.0
Asociación De Productores Guaralape,354.0
ASOCIACION DE PRODUCTORES INDIGENAS SEYNEKUN,1388.0
ASOCIACION DE PRODUCTORES INTEGRAL Y SOSTENIBLE DE AMAZONAS- APRYSA,88.0
ASOCIACION DE PRODUCTORES KEMITO - ENE,330.0
Asociación De Productores Orgánicos Arhuacos,1460.0
Asociación De Productores Orgánicos Del Macizo,1600.0
Asociación De Productores Orgánicos Nuevo Futuro,36.0
Asociación de Productores Orgánicos y Agro sostenibles (APOYA),498.0
Asociación De Productores San Isidro,588.0
ASOCIACIÓN DE PRODUCTORES SELVA NORORIENTAL,680.0
ASOCIACION DE PRODUCTORES SOSTENIBLES & SERVICIOS MULTIPLES DE CAFÉ Y CACAO - APROSEM CAFE & CACAO,1207.0
Asociación De Productores Sostenibles El Ayni,1179.0
ASOCIACION DE PRODUCTORES VILLA RICA YANESHA,813.0
Asociación De Productres Y Exportadores De Café Rodriguez De Mendoza (APROEXPORT),1216.0
Asociación De Tecnólogos Y Productores Agropecuarios De Bilbao – ASOTBILBAO,1488.0
Asociacion Integral De Productores Ecologicos De Pumiri - AIPEP,183.0
Asociacion Integral De Productores Ecologicos De Pumiri - AIPEP,117.0
Asociacion Integral De Productores Ecologicos De Pumiri - AIPEP,1640.0
ASOCIACION MEDIOAMBIENTAL GRANOS DE ORO VERDE - AMEGOV,788.0
Asociación Nacional Cocochana De Caficultores Ecológicos “ANACCAFE”,1696.0
Asociación Santo Domingo De La Sierra,720.0
Asociación Sostenible De Productores De Guatemala-Ong (ASDECAFE),1235.0
Asociación Sostenible De Productores De Guatemala-Ong (ASPROGUATE-ONG),952.0
Asociación Tayronaca,928.0
ASOCIACION VALLE GRANDE,750.0
ASOGRANCOFFEE,925.0
ASOPROCAFE ORGANICO SIERRA NEVADA,1364.0
Aspen Enterprises Ltd. Dba Aspen Beverage Group,898.0
Associacao Perolense De Fruticultores Frutiperola,106.0
Atlantic (USA) Inc Dba Atlantic Cocoa Company,1268.0
ATLANTIC COFFEE SOLUTIONS LLC,9.0
"Atlantic Specialty Coffee, Inc",56.0
"Atlas Coffee Importers, LLC",1653.0
ATPROCAFES,789.0
Augusto Matheus Alves Almeida (Fazenda Caapuã),1354.0
"Aung Nay Lin Htun Co., Ltd.",272.0
Aunutra Industries Inc.,98.0
"AUROPURE LIFESCIENCE CO., LTD.",1720.0
"Aurora Products, Inc.",1320.0
Australian Botanical Products,923.0
AVALMARTI S.A.,1449.0
AYNI - ESCUELA DE NUTRICIÓN HOLÍSTICA,1053.0
Azahar Coffee Company,84.0
B & R PACIFIC TRADING S.R.L.,1750.0
B & W Specialty Coffee Co.,1546.0
Backyard Beans Coffee Co.,150.0
"Bactolac Pharmaceutical, Inc. Aka  Atlantic Essential Products Inc",519.0
BAF LOGISTIC E.I.R.L,926.0
BALCANES COFFEE ESTATES  SA De CV,291.0
"Baltimore Coffee & Tea Co. Inc., The",819.0
"Balzac Bros. & Company, LLC",1811.0
Bamboo Juices LLC,682.0
Barkume Coffee Export PLC,721.0
Barrie House Coffees,1404.0
Batdorf & Bronson Coffee Roasters,1541.0
Batdorf And Bronson Coffee Roasters,874.0
"Bay Area Coffee, Inc.",695.0
"Bay Area Coroasters, A California Corporation",468.0
Bayside Roasters Coffee Co,440.0
BBTC HERKULU TEA ESTATE,212.0
Be Green Trading SA,408.0
"Beak & Skiff Apple Farms, Inc. - Cider Mill",528.0
Bean And Brew Coffee And Tea,1125.0
Beanstock Coffee Roasters LLC,309.0
"Bear Mountain Coffee Roasters, Inc.",1571.0
Bekele Bedecha Coffee Producer & Exporter,724.0
Bekele Bedecha Dry Mill,1153.0
Bela Epoca Coffees Ltda - ME,1241.0
"Belarminio Ramírez E Hijos, S.A.",733.0
Belcampo Belize Ltd. Dba Copal Tree Farms,569.0
Bell Flavors And Fragrances,1409.0
BELLA ROSA COFFEE COMPANY INC,1474.0
Bell-Carter Packaging,189.0
Bellingham Coffee Roasters,1008.0
Bench Maji Forest Coffee Producer Farmers',433.0
Bendaña Mcewan & Asociados S.A,1115.0
BENDAÑA Mcewan & ASOCIADOS/BENEFICIO SAN MIGUEL ARCANGEL,1253.0
Benecke Coffee Gmbh & Co. KG,1747.0
BENEFICIADORA NORTEÑA DE CAFÉ S.A,1201.0
BENEFICIO CAFÉ ECPP HONDURAS,678.0
BENEFICIO CAFÉ ECPP HONDURAS,1438.0
Beneficio Cuzcachapa De R.L.,1463.0
Beneficio de Café INLOHER,1788.0
Beneficio De Cafe Montecristo Becamo,58.0
Beneficio De Café Montecristo S.A DE C.V,1271.0
Beneficio De Café Montecristo S.A DE C.V,1735.0
Beneficio de Exportación de Occidente S. De R. L de C.V. (BEO),469.0
Beneficio De Exportación De Occidente S. De R.L. DE C.V.,1779.0
Beneficio De Exportación De Occidente S. De R.L. DE C.V.,1147.0
Beneficio De Exportación De Occidente S. De R.L. DE C.V.,311.0
Beneficio El Triunfo,542.0
Beneficio La Dalia,145.0
Beneficio Las Brisas,486.0
Beneficio San Marcos S.A De C.V,1298.0
Beneficio San Marcos S.A De C.V,1171.0
Beneficio San Marcos S.A De C.V,565.0
Beneficio Santa Isabel Y Cia. Ltda. / CAMEC,1332.0
Beneficio Santa Rosa S.A.,1285.0
Beneficio Santa Rosa S.A.,608.0
Beneficio Santa Rosa S.A.,1106.0
"Beneficio Seco De PRODECOOP, R.L. (Las Segovias)",766.0
"Beneficio Seco La Concha, S.A.",1773.0
Beneficio Solcafe S.A,1290.0
Beneficio Solcafe S.A,875.0
Beneficio Solcafe S.A,1210.0
Ben's Beans LLC,1121.0
"Bent Tree Coffee Roasters, LLC",1770.0
Benton Thomas,1301.0
Beraca USA NY CORP,1751.0
BERACA USA NY CORP,776.0
Beratu Jebicho,1009.0
BEST FORMULATIONS INC.,239.0
Best Ground International SA De CV,205.0
Better Buzz Coffee Company,1415.0
Betterbody Foods And Nutrition,1010.0
BG Spirits S.A. De C.V.,352.0
"Bhakti, Inc.",1020.0
BICAFE HONDURAS S.A DE C.V,514.0
"Big Bang Coffee Roasters, LLC",476.0
Big Barn Coffee Co.,214.0
Big Bend Coffee Roasters,1282.0
BIG RIVER COFFEE COMPANY,625.0
Biggi's Organic Breads,801.0
Bio Foods (Pvt) Ltd.,165.0
Bioagaves De La Costa S.A. De C.V.,768.0
Biosfair Agroexport Nicaragua S.A,1219.0
Biosfair Agroexport Nicaragua S.A,1259.0
Biosfair Agroexport S.A.,323.0
"Birch Guys, LLC",1699.0
"Bird Rock Coffee Roasters, Inc.",776.0
BIRDING COFFEE S.A De C.V,436.0
"BJC Mega Market Co., Ltd.",175.0
Black Coffee Roasting Company,612.0
"Black Drop Coffee, Inc.",1287.0
Black River Roasters LLC,1096.0
Blanchard's Coffee Co.,1142.0
"Blue Bottle Coffee, LLC",1193.0
"Blue Pacific Flavors, Inc.",1114.0
Blue Star Coffee Roasters,1705.0
BODHI LEAF TRADING,1269.0
Bolthouse,1719.0
"BONA FIDE BREWING COMPANY, LLC",1436.0
BONCAFE S.A,1300.0
BONCAFE S.A,102.0
BONCAFE S.A,452.0
Bongo Java Roasting Co.,401.0
BOONMEE DOILUANG COFFEE-TEA FACTORY,1768.0
BOONMEE THATIP,1596.0
Booskerdoo Coffee LLC,349.0
Bootstrap Coffee Roasters,1675.0
BOTANICALINK CO.LTD.,781.0
Botelho Comércio E Industria Ltda,98.0
Bourbon Specialty Coffees S/A,1553.0
Bourbon Specialty Coffees S/A,1668.0
"Bramo, LLC",443.0
Brasil Espresso Comercio Atacadista Ltda,550.0
"Brazilian Specialty Coffees, LLC",1088.0
BRAZUKA COFFEE ROASTERS LLC,1779.0
Brisk Coffee Roasters USA DBA 22nd Street Coffee Roasters,1670.0
BRITT BRANDS COLOMBIA S.A.S,1367.0
"BRITT BRANDS PERU, SAC",457.0
Broadway Roasting Company,917.0
Brothers International Desserts Inc.,1038.0
Bruce D. Corker,1438.0
B-Side Coffee LLC,1276.0
"Buenos Aires Las Marias, S.A.",1038.0
Bufumbo Organic Farmers Association (BOFA),695.0
Bugangari Women Coffee Factory,876.0
Bukalasa Coffee Factory,1265.0
BUKONZO JOINT COOPERATIVE MICROFINANCE SOCIETY,1695.0
Bukonzo Organic Farmers Cooperative Union,1116.0
"Bumblebar, Inc.",296.0
"Buono (Thailand) Co., Ltd.",192.0
Burgies Coffee Roasting LLC,1720.0
Burka Galeti Farmers’ Cooperative Union,68.0
"Burke Brands, LLC",636.0
Burlap And Bean,773.0
Bwentama Coffee Factory,329.0
"BYO Operations LLC, Dba Beyond Organic Nutritionals",736.0
"BYO Operations, LLC Dba Beyond Organic Nutritionals",1773.0
C & C Latin America Imports Dba Selvasur Imports,143.0
"C And L, LLC.",1113.0
C. I. LOHAS BEANS S.A.S,460.0
C. Steinweg-Handelsveem BV,508.0
C.A.C ALTO URUBAMBA LTDA.,1328.0
C.I BIOCOFFEE SIERRA S.A.S,145.0
CA Enterprises SA; Twin Engine Coffee,1407.0
"Cable Car Delights, Inc.",653.0
CAC Aguilayoc Ltda,541.0
CAC Bagua Grande Ltda.,1418.0
CADAPE PERU S.A.,620.0
"CADECO INDUSTRIES, INC.",240.0
"CADECO INDUSTRIES, INC.",1693.0
Cadence Cold Brew Coffee,1430.0
"CAFÉ ALMA DE CHIAPAS, S. DE R.L",106.0
"CAFÉ AROMAS ZAMORANO ""CAZ""",851.0
Café Azul Meambar S.A.DE C.V,1144.0
Café Azul Meambar S.A.DE C.V,1554.0
Café Azul Meambar S.A.DE C.V,753.0
Café Bom Dia Ltda.,1735.0
Cafe Brisa Serena Unipessoal Lda,1557.0
CAFE BRITT COSTA RICA S.A.,1130.0
Cafe Campesino,91.0
Café Capris S.A,1233.0
CAFÉ CHAC S. de R.L de C.V,1362.0
CAFÉ COLSUAVES S.A.S.,525.0
Café De Exportación S.A.,1472.0
Café De Exportación S.A.,738.0
Café De Exportación S.A.,257.0
Café De Exportación S.A. Occidente,423.0
"Cafe De Exportacion SA
Finca Comercial Acosta (Finca CADEXSA)",221.0
"Cafe De Exportacion SA
Finca Comercial Acosta (Finca CADEXSA)",33.0
Cafe de Juquila,1341.0
CAFE DE SANTA BARBARA SAS,272.0
CAFÉ DEVOTION S.A.S.,720.0
Café Do Mercado - Comércio De Cafés Ltda EPP,1213.0
Café El Bosque S.R.L.,183.0
Café Espiritual S.P.R. De R.L.,1445.0
"CAFE FINCA EL CHANGO, RANCHO POTRERO S.C. DE R.L. DE C.V.",173.0
"Café Gourmet Sierra Azul, S.C.",1809.0
CAFÉ GÜSTAFFSON SAC,355.0
"Cafe Imports Fulfillment, LLC",814.0
"Café Justo, S. P. R. De R. L.",596.0
Café Kotowa SA,1320.0
Café Kotowa SA,854.0
Café Kreyol,1251.0
Café Lava Java,1268.0
Café Lava Java,1164.0
"Café Lobo, LLC DBA Green Tree Coffee & Tea",185.0
Café Marquense S.A. De C.V.,369.0
Café Marquense S.A. De C.V.,946.0
Café Marquense S.A. De C.V.,249.0
Café Montaña Roja S.A.S.,239.0
Café Monteverde - Asociación De Productores Agropecuarios Valle Verde De Rodríguez De Mendoza,974.0
Cafe Moto,647.0
CAFÉ MULATO ORGÁNICO S.A.S.,1001.0
Café Nor Nicaragua S.A,899.0
Café Nor Nicaragua S.A.,1015.0
Café Orgánico Don Feliciano E.I.R.L,38.0
Café Orgánico Márcala S.A. (COMSA),478.0
Café Orgánico Márcala S.A. (COMSA),219.0
Café Orgánico Márcala S.A. (COMSA),1340.0
Café Organico Marcala S.A. COMSA,1469.0
CAFE ORGANICO MONTES DE CRISTO S.A.,230.0
CAFÉ ORGÁNICO RENACIMIENTO S.C. DE R.L. DE C.V.,1209.0
Cafe Orgánico Sostenible El Jilguero S.A De C.V,572.0
Cafe Orgánico Sostenible El Jilguero S.A De C.V,385.0
Café Prevenir S.P.R De R.L.,565.0
CAFE QUINDIO S.A.S.,1306.0
Café Roaster & Lab S.A.C.,452.0
