subscription_id,date_subscribed,membership,user_id,level_id
67,1989-08-04 00:30:29,Silver,3927,3
68,2016-07-11 04:21:49,Bronze,1105,2
69,1995-01-10 00:11:26,Gold,1413,3
70,1996-10-31 13:53:59,Gold,1757,3
71,2018-04-24 07:41:18,Gold,2762,1
72,1999-02-08 05:10:20,Bronze,2835,2
73,2019-06-25 18:22:48,Bronze,4151,1
74,2011-03-02 01:43:44,Bronze,173,1
75,2019-05-16 04:38:20,Gold,4421,2
76,2016-10-05 10:17:34,Silver,2956,3
77,2013-11-13 17:01:21,Gold,1003,3
78,2002-09-15 23:08:13,Gold,888,1
79,1996-08-22 21:41:27,Silver,517,2
80,1998-06-22 20:05:41,Silver,2255,1
81,1992-06-03 21:44:18,Silver,1045,3
82,2017-04-22 23:53:38,Silver,883,2
83,2009-01-08 00:22:38,Gold,2492,3
84,1998-03-17 12:06:44,Silver,2525,1
85,2009-06-21 00:03:46,Gold,4625,2
86,2011-07-24 11:13:38,Bronze,1202,2
87,2006-10-29 20:34:07,Silver,1085,1
88,2018-07-16 02:28:54,Bronze,2053,3
89,2013-11-29 16:12:13,Bronze,1531,3
90,2016-10-25 08:14:52,Gold,720,2
91,2003-02-25 14:17:42,Gold,4270,1
92,2002-07-24 11:06:35,Bronze,1217,1
93,1990-04-03 09:30:20,Silver,1745,3
94,1999-11-05 12:04:09,Gold,1529,3
95,1997-10-27 01:54:32,Gold,4616,2
96,2011-01-07 16:32:43,Gold,3032,2
97,1995-11-20 14:00:02,Silver,3094,1
98,2011-08-20 00:09:53,Silver,4149,2
99,2018-07-16 14:27:31,Bronze,3013,3
100,2015-12-20 12:21:58,Gold,432,3
101,2003-12-30 22:24:04,Bronze,90,2
102,2005-08-17 11:26:26,Bronze,3827,2
103,2002-10-02 02:06:16,Gold,4508,1
104,2000-11-16 12:49:13,Bronze,299,2
105,1989-11-20 22:12:23,Bronze,807,2
106,2014-10-08 10:03:49,Silver,2687,3
107,2012-07-10 21:01:39,Bronze,3128,3
108,1999-10-26 13:47:00,Gold,952,3
109,2005-07-23 03:13:00,Gold,1369,3
110,2014-04-11 16:23:18,Bronze,4664,1
111,2007-11-24 01:50:20,Silver,1159,2
112,1997-04-13 06:28:06,Gold,4630,2
113,2000-10-04 21:34:58,Gold,504,3
114,1991-02-08 06:13:12,Gold,1569,2
115,2009-02-19 10:39:54,Gold,1547,2
116,2004-09-02 06:41:46,Gold,3187,1
117,1991-05-26 10:57:58,Gold,893,1
118,2013-08-10 02:26:55,Silver,4424,3
119,1992-08-08 05:07:53,Bronze,4854,1
120,2012-08-08 02:51:04,Gold,4634,3
121,2015-09-26 06:25:14,Gold,1303,2
122,2007-06-07 06:17:42,Bronze,4785,1
123,1993-01-27 13:31:40,Silver,2972,2
124,2006-06-01 17:42:14,Silver,3272,1
125,2010-12-06 07:24:26,Gold,3992,2
126,1991-05-21 03:26:57,Silver,263,3
127,1991-11-15 21:36:02,Gold,2444,1
128,2013-09-12 02:17:24,Bronze,2851,1
129,2010-10-08 22:04:07,Gold,955,2
130,2018-03-01 15:52:59,Bronze,149,3
131,2013-06-19 12:48:44,Gold,4274,2
132,1992-05-10 11:27:17,Bronze,2311,1
133,1998-09-13 13:40:43,Silver,4350,3
134,1993-04-28 07:47:58,Bronze,3124,2
135,2019-01-01 16:12:37,Gold,4715,2
136,2014-05-10 16:25:48,Silver,356,2
137,1990-02-05 10:08:31,Bronze,193,3
138,2009-10-26 18:41:08,Gold,4913,3
139,2011-12-24 21:21:37,Silver,4104,1
140,2014-09-21 19:14:49,Gold,886,3
141,2016-10-12 00:09:48,Bronze,70,2
142,1992-03-10 16:54:36,Gold,4129,2
143,1995-10-20 22:09:53,Gold,2243,3
144,2015-03-09 13:43:07,Gold,3384,1
145,2014-05-08 00:55:10,Gold,2647,2
146,2003-02-09 12:27:11,Silver,1573,2
147,2018-12-12 04:31:36,Silver,4105,3
148,2010-06-21 03:06:05,Bronze,4114,2
149,1993-03-06 02:34:31,Gold,2667,3
150,2003-10-14 21:09:50,Silver,567,3
151,2016-07-15 03:10:43,Silver,3567,2
152,2013-06-25 15:03:51,Bronze,1031,1
153,2014-12-29 07:57:14,Silver,4885,2
154,2018-05-24 09:48:24,Silver,3913,3
155,2003-06-08 21:22:02,Gold,3964,3
156,1997-01-04 17:25:45,Silver,558,1
157,2018-11-11 19:00:35,Silver,1415,3
158,2015-10-03 01:56:53,Bronze,4029,2
159,1989-08-03 08:29:07,Bronze,1284,1
160,1996-09-29 22:38:40,Gold,273,3
161,2014-10-13 08:56:33,Gold,1017,3
162,2000-07-12 11:10:06,Gold,3667,1
163,2008-12-13 00:38:28,Gold,429,1
164,1994-02-18 12:58:17,Bronze,4991,3
165,1998-02-10 13:36:38,Gold,4074,3
166,2013-02-15 09:29:01,Silver,1668,3
167,2005-01-04 09:13:50,Gold,531,3
168,1993-04-22 08:07:53,Bronze,314,1
169,1995-06-17 11:25:38,Bronze,2707,3
170,2008-06-13 21:40:53,Gold,2795,2
171,2003-01-08 14:27:38,Silver,4235,3
172,2001-03-25 08:46:35,Bronze,1251,2
173,2008-01-31 01:03:30,Gold,3648,2
174,2018-07-23 19:25:02,Bronze,1512,3
175,2005-03-01 13:55:53,Silver,270,3
176,1995-11-28 03:14:36,Bronze,2348,1
177,2008-05-21 01:23:51,Bronze,4356,2
178,1997-10-31 10:43:15,Silver,3660,3
179,2017-07-19 03:28:41,Gold,2309,2
180,2013-03-29 02:13:46,Gold,3175,2
181,2017-08-12 07:48:00,Silver,2777,3
182,2015-03-31 15:51:21,Silver,1422,3
183,2005-05-06 21:38:13,Silver,1891,1
184,1991-04-28 00:30:24,Silver,1536,3
185,2019-01-12 13:42:26,Bronze,4550,1
186,1997-10-03 21:24:18,Bronze,2416,3
187,2018-07-16 06:00:46,Bronze,2251,2
188,2008-08-11 16:59:44,Silver,1721,3
189,2010-01-05 10:19:03,Gold,969,3
190,2013-12-14 07:57:40,Bronze,4709,3
191,1999-12-02 19:13:52,Silver,4479,3
192,2012-09-23 03:06:27,Silver,4566,3
193,2000-09-13 11:35:30,Gold,4342,1
194,2018-11-28 14:21:10,Bronze,1372,1
195,1997-07-21 05:54:45,Silver,2395,3
196,1991-05-03 14:23:23,Bronze,2527,1
197,1998-05-01 00:01:45,Gold,1798,1
198,1991-03-10 03:48:05,Bronze,3066,1
199,2003-09-08 12:41:14,Silver,2001,2
200,2013-12-06 14:38:08,Bronze,1502,3
201,2008-09-30 15:39:15,Silver,513,2
202,2016-04-14 08:41:19,Gold,3230,1
203,1991-05-24 23:32:46,Bronze,727,3
204,2015-09-12 22:56:57,Gold,1681,3
205,2013-11-14 16:18:46,Silver,669,1
206,2007-12-07 03:12:37,Silver,426,2
207,2000-10-24 14:01:50,Bronze,4396,3
208,1989-12-22 12:55:53,Silver,115,3
209,1992-08-22 05:22:40,Silver,188,2
210,2017-02-26 05:19:46,Gold,1008,3
211,1997-12-14 08:56:45,Bronze,1632,1
212,1997-01-02 03:00:29,Bronze,4502,1
213,2000-09-26 11:06:26,Silver,4900,1
214,1993-10-30 16:43:16,Bronze,3181,1
215,2009-11-19 00:25:03,Silver,1776,2
216,2015-12-08 06:40:52,Silver,331,2
217,1995-03-19 22:17:21,Gold,988,1
218,2013-06-26 15:52:08,Bronze,3409,1
219,2005-03-26 06:25:54,Bronze,187,1
220,2016-05-31 11:04:27,Bronze,2765,3
221,1993-04-03 08:34:56,Gold,416,1
222,2010-05-19 18:33:59,Bronze,452,1
223,1994-06-04 17:05:40,Bronze,3487,2
224,2006-09-13 07:21:15,Bronze,1644,1
225,2010-08-27 00:24:34,Bronze,1433,2
226,1999-01-16 02:25:18,Gold,4447,2
227,1993-11-14 19:00:33,Gold,2901,2
228,2008-07-04 02:38:33,Gold,4208,2
229,2000-10-25 20:19:10,Bronze,3577,3
230,1994-10-09 20:57:37,Gold,3006,1
231,2008-03-17 09:07:53,Silver,3951,3
232,2011-12-13 03:30:18,Silver,4436,3
233,2013-03-05 15:41:35,Bronze,4681,1
234,2000-09-17 11:31:04,Silver,2324,2
235,2015-06-16 10:12:40,Bronze,2296,3
236,1994-08-26 18:22:05,Gold,3866,3
237,2006-09-11 20:56:43,Silver,344,2
238,2015-01-07 13:32:32,Gold,1452,3
239,2007-07-24 12:39:30,Bronze,1574,3
240,2008-07-06 04:53:22,Gold,511,3
241,2001-08-06 18:27:39,Gold,155,1
242,2007-11-10 18:53:51,Gold,350,2
243,2015-04-20 18:49:46,Gold,4981,3
244,1991-10-29 22:21:55,Gold,318,1
245,2013-02-16 03:19:56,Bronze,2907,3
246,2008-07-12 00:17:56,Bronze,1521,3
247,2013-01-31 13:05:42,Gold,4262,2
248,2014-05-02 14:56:43,Gold,602,3
249,1993-11-27 03:04:42,Silver,2229,1
250,1999-09-01 18:42:19,Gold,2646,2
251,1999-09-17 15:34:05,Gold,2652,2
252,1996-01-03 07:06:03,Silver,4702,2
253,1995-10-13 12:35:27,Silver,56,1
254,2007-03-21 16:03:06,Bronze,682,2
255,1995-09-01 00:31:53,Silver,925,3
256,2019-02-18 00:58:48,Bronze,1097,1
257,2019-06-02 19:20:20,Bronze,4240,2
258,2004-08-08 11:06:53,Gold,2463,1
259,1992-10-18 19:39:45,Gold,3223,2
260,2016-07-13 18:23:35,Gold,163,1
261,2009-01-28 21:18:07,Silver,3520,2
262,2002-10-06 07:31:45,Gold,2678,2
263,2006-04-10 19:11:16,Silver,625,2
264,2013-08-04 03:34:33,Silver,4556,3
265,2009-07-26 04:05:15,Silver,3722,3
266,2008-06-14 10:16:02,Bronze,717,1
267,1997-04-14 00:01:37,Silver,2335,1
268,2006-06-02 11:05:36,Silver,1490,2
269,1995-09-19 09:42:59,Silver,1465,3
270,1997-08-03 06:33:26,Silver,4348,2
271,2005-10-20 10:25:22,Gold,1329,2
272,1992-11-18 20:52:06,Gold,4827,1
273,2016-04-21 23:46:46,Bronze,2101,1
274,2012-11-24 08:45:05,Bronze,2337,3
275,2018-04-18 17:36:59,Silver,4995,3
276,1990-07-07 05:58:51,Silver,3959,3
277,1991-05-18 08:30:51,Bronze,3757,1
278,2017-02-28 03:01:46,Silver,3467,2
279,1998-02-04 23:40:24,Gold,2963,1
280,2002-05-14 03:27:24,Silver,1807,2
281,2015-03-31 23:42:49,Gold,1394,1
282,2003-12-20 00:58:09,Bronze,676,2
283,2018-11-10 07:20:39,Silver,1273,2
284,2014-05-18 12:26:46,Bronze,882,3
285,2016-07-18 02:08:19,Bronze,3932,1
286,2005-07-01 19:13:24,Bronze,4327,3
287,1990-09-02 15:05:32,Bronze,3342,1
288,1991-02-08 00:52:11,Gold,939,3
289,2013-07-29 05:04:48,Silver,4432,2
290,2011-01-03 06:16:07,Bronze,4798,2
291,2003-08-15 03:42:12,Gold,3859,1
292,2019-03-19 07:45:43,Gold,1988,2
293,1996-08-24 22:04:36,Gold,4471,2
294,1999-05-29 08:48:00,Bronze,4323,3
295,2004-10-18 18:55:10,Silver,2676,3
296,2002-03-23 16:49:21,Gold,1152,3
297,1991-06-14 17:21:27,Bronze,3960,1
298,1989-09-19 07:39:55,Bronze,1252,3
299,2018-09-16 19:10:52,Gold,2452,1
300,2004-10-30 07:39:22,Gold,2574,1
301,2013-01-12 18:45:42,Gold,1221,1
302,2017-06-17 01:28:57,Silver,3287,2
303,1999-05-31 15:07:12,Bronze,4335,3
304,1994-06-19 01:06:05,Bronze,2999,1
305,2015-03-13 14:34:34,Bronze,3718,2
306,1992-08-09 00:36:58,Bronze,2664,1
307,2008-10-11 14:08:57,Silver,174,3
308,2001-08-19 20:36:25,Bronze,1237,1
309,2010-08-15 10:04:57,Gold,942,1
310,1990-02-14 14:55:51,Gold,3523,1
311,2003-02-11 15:14:43,Gold,3868,2
312,2007-02-16 09:00:19,Bronze,588,2
313,2014-09-17 19:03:52,Bronze,97,2
314,2011-08-08 19:20:29,Gold,1186,1
315,1992-03-27 06:48:21,Silver,901,3
316,2009-12-28 07:30:04,Bronze,2550,3
317,1997-12-10 11:50:51,Gold,2585,1
318,2000-11-13 03:08:02,Gold,4501,3
319,2010-12-19 17:04:37,Gold,1899,1
320,1994-12-20 09:33:57,Silver,3525,2
321,2007-07-06 12:59:28,Bronze,3598,2
322,1992-04-16 15:39:41,Bronze,1578,2
323,2019-04-29 10:14:50,Gold,1023,1
324,2015-07-28 21:49:10,Bronze,981,1
325,2018-01-03 07:40:01,Bronze,869,3
326,2013-04-09 03:38:16,Gold,2751,1
327,1992-05-10 15:14:08,Bronze,1427,1
328,2017-10-28 18:31:57,Gold,3755,2
329,1993-06-13 22:16:16,Silver,3893,3
330,2013-10-01 03:31:55,Bronze,2636,1
331,2018-04-01 11:35:13,Silver,4748,2
332,2014-09-30 00:18:38,Bronze,442,1
333,2018-04-20 02:18:18,Gold,4861,1
334,2014-05-30 11:45:23,Silver,4444,3
335,2015-04-04 15:55:26,Bronze,3005,3
336,2015-09-24 20:30:50,Bronze,2964,1
337,2019-04-30 02:38:18,Silver,3502,2
338,2002-04-23 10:58:22,Silver,3709,1
339,2010-03-15 21:36:26,Bronze,2399,1
340,1990-04-22 18:25:16,Silver,4311,1
341,1995-01-30 03:14:50,Bronze,3077,1
342,2018-01-13 01:03:02,Silver,1716,1
343,1993-12-29 06:44:55,Gold,1818,3
344,2008-07-26 00:14:21,Gold,98,1
345,1998-09-03 03:18:01,Silver,2925,2
346,1999-11-28 08:00:03,Bronze,3743,2
347,1998-07-31 07:26:46,Silver,862,3
348,2003-09-10 10:04:03,Silver,4282,3
349,1990-07-22 22:37:43,Bronze,2457,1
350,1998-10-11 00:22:49,Bronze,1990,2
351,2008-02-18 07:51:07,Gold,1471,1
352,2010-07-12 01:32:18,Gold,2344,2
353,2013-05-27 15:09:11,Silver,2923,3
354,2018-07-05 21:24:34,Silver,300,1
355,2016-02-05 11:26:17,Silver,3357,3
356,2018-03-15 20:13:41,Bronze,3012,3
357,2004-09-14 20:31:55,Silver,4475,2
358,1997-07-08 21:21:49,Gold,1908,2
359,2016-08-11 09:10:45,Gold,4655,2
360,2015-11-13 19:56:13,Bronze,1954,3
361,2000-03-26 20:40:17,Silver,3395,1
362,2010-04-14 03:38:47,Gold,3067,1
363,2008-03-03 03:35:16,Silver,815,1
364,1999-11-28 20:38:06,Silver,4237,3
365,2000-06-27 14:04:12,Bronze,825,2
366,2001-07-13 11:30:24,Gold,1160,1
367,1990-01-24 21:11:16,Silver,468,2
368,2000-08-21 00:29:31,Silver,712,2
369,2014-08-20 05:53:15,Bronze,95,3
370,2007-07-18 17:15:57,Bronze,2364,1
371,2015-04-11 13:43:33,Bronze,1365,1
372,2003-01-18 09:22:30,Bronze,1819,1
373,2009-11-20 13:21:50,Gold,4482,1
374,2004-12-03 14:52:15,Gold,3994,3
375,1996-02-14 08:38:20,Silver,3938,2
376,2008-08-05 13:28:06,Silver,1575,1
377,2008-11-16 10:45:50,Bronze,3382,2
378,2004-09-15 23:17:11,Silver,1520,3
379,2014-04-15 10:24:13,Silver,3626,2
380,1997-07-17 00:53:22,Gold,1414,2
381,2005-07-15 02:37:13,Gold,2297,2
382,2014-11-29 18:23:42,Silver,147,3
383,2019-03-15 04:52:41,Silver,409,1
384,1999-12-13 01:24:12,Silver,1583,3
385,2010-01-02 02:10:16,Gold,1657,1
386,2004-03-16 15:40:43,Bronze,3901,3
387,1998-04-19 09:37:09,Silver,3393,3
388,1997-07-13 21:46:27,Bronze,4646,2
389,1995-06-07 18:53:15,Gold,4001,3
390,1993-10-31 11:59:59,Silver,4276,2
391,2013-10-01 13:26:08,Gold,1209,2
392,2014-08-06 00:01:01,Bronze,2441,3
393,2017-06-30 17:39:41,Silver,4784,2
394,1998-12-20 05:22:10,Silver,4882,1
395,1999-02-13 23:34:17,Gold,1865,3
396,2005-07-05 03:05:42,Silver,745,2
397,1994-09-23 04:05:48,Gold,1553,1
398,1999-11-09 17:23:09,Bronze,3061,3
399,1990-03-08 06:57:05,Silver,171,2
400,2010-02-03 02:11:46,Silver,1244,3
401,2011-02-13 09:13:27,Silver,2906,1
402,2016-10-21 11:10:39,Bronze,1861,1
403,1998-12-04 02:34:54,Silver,2852,3
404,1990-12-18 04:33:48,Silver,4455,2
405,1995-08-20 03:19:56,Bronze,3723,2
406,2011-03-24 16:35:08,Bronze,4666,2
407,2018-05-26 10:50:57,Silver,3975,2
408,2018-05-18 05:47:45,Silver,641,3
409,2011-07-07 08:00:08,Bronze,281,2
410,2008-11-19 21:18:44,Bronze,2537,1
411,1990-02-20 09:41:52,Gold,664,2
412,2002-04-02 19:49:44,Gold,1292,3
413,2005-03-15 22:14:13,Silver,4487,1
414,2019-03-20 14:17:33,Silver,1354,2
415,1999-12-07 03:25:22,Gold,3399,2
416,2009-09-07 17:52:26,Silver,3134,2
417,1993-02-04 03:37:42,Gold,4787,3
418,1996-02-07 17:42:56,Gold,93,1
419,2009-10-29 18:26:32,Silver,3376,3
420,2006-05-26 08:28:52,Gold,3313,3
421,2007-04-22 04:29:17,Silver,4783,1
422,1992-08-25 23:42:28,Silver,740,1
423,2011-12-26 17:40:34,Bronze,1178,2
424,2013-06-12 07:41:44,Bronze,2386,1
425,2009-10-30 22:05:27,Gold,3351,2
426,1991-05-10 16:13:22,Silver,4810,1
427,2003-10-09 13:02:06,Gold,4662,2
428,2004-08-21 22:26:03,Gold,4132,3
429,1999-03-22 01:18:41,Silver,4366,2
430,2015-06-14 14:23:30,Gold,4744,1
431,1999-05-12 12:46:48,Gold,2512,2
432,2001-11-04 16:06:45,Bronze,2301,2
433,1999-07-15 11:08:47,Gold,1709,1
434,2003-12-21 01:03:17,Silver,433,2
435,1993-04-01 02:09:11,Silver,2245,1
436,2016-12-30 00:32:35,Silver,3387,3
437,2002-09-13 21:39:27,Gold,3315,2
438,1996-11-24 02:05:29,Silver,4207,1
439,2003-09-16 13:46:41,Silver,518,1
440,2014-11-21 16:42:48,Silver,3329,2
441,2002-05-30 23:46:41,Gold,802,3
442,2005-11-02 19:18:36,Silver,2516,2
443,2008-03-31 12:46:57,Gold,338,3
444,1994-10-22 18:58:35,Gold,4472,2
445,2013-10-13 13:56:40,Gold,2958,3
446,1994-06-24 22:05:24,Gold,3922,3
447,2016-11-19 22:25:27,Gold,759,1
448,1996-12-05 04:01:35,Silver,4438,3
449,1995-05-27 06:27:33,Bronze,2231,2
450,2014-03-22 10:53:04,Bronze,2228,3
451,2013-12-14 11:17:25,Gold,2326,2
452,2014-12-07 15:06:41,Bronze,2640,2
453,1998-04-19 07:44:45,Silver,3332,1
454,2005-11-06 06:22:50,Silver,192,3
455,1993-09-03 11:39:36,Silver,992,2
456,1992-01-23 05:02:49,Gold,3145,3
457,2012-05-11 03:01:36,Bronze,798,1
458,2007-03-15 18:08:39,Bronze,3966,1
459,2014-03-04 05:57:18,Bronze,2029,3
460,2012-01-11 08:48:10,Gold,1133,2
461,2003-06-29 12:20:44,Bronze,2042,1
462,1993-04-12 19:35:56,Gold,673,2
463,1989-07-27 23:19:13,Gold,592,2
464,2009-07-13 20:20:55,Gold,3443,3
465,2006-08-10 01:46:32,Silver,797,1
466,2005-03-18 18:16:33,Bronze,3948,1
467,2001-12-20 12:23:58,Silver,81,1
468,1999-04-05 12:34:21,Silver,683,2
469,1999-07-12 04:35:22,Gold,3834,2
470,1996-11-13 11:14:47,Silver,369,1
471,1994-07-03 22:23:07,Silver,3694,1
472,2017-05-17 06:44:45,Gold,4453,3
473,2005-11-20 22:10:59,Silver,1127,1
474,2008-04-06 11:02:08,Gold,1911,2
475,2015-06-22 07:49:51,Silver,3035,3
476,2016-05-25 03:16:34,Silver,1408,1
477,1999-04-08 11:48:00,Silver,3051,2
478,1995-02-25 05:04:16,Silver,3192,1
479,2019-02-27 02:42:03,Silver,2302,2
480,2006-01-04 13:55:43,Bronze,1276,3
481,2011-12-22 17:28:42,Gold,2913,1
482,2000-11-23 12:43:01,Gold,3300,3
483,2016-07-25 12:29:15,Silver,2635,1
484,1997-10-16 16:55:59,Silver,1294,1
485,1990-06-07 22:55:25,Silver,3984,3
486,1996-04-18 23:26:17,Silver,3793,3
487,2011-11-30 08:46:58,Silver,1877,1
488,2012-10-17 11:47:00,Gold,1445,1
489,2014-06-12 13:48:10,Gold,2750,3
490,1996-02-16 05:40:23,Bronze,2178,1
491,2017-02-08 03:33:02,Silver,1586,1
492,1993-04-30 04:20:06,Bronze,1135,3
493,2016-09-27 23:28:15,Gold,3790,2
494,1995-07-01 14:47:46,Gold,4955,1
495,1996-04-27 17:24:38,Gold,4979,1
496,2016-12-19 12:46:04,Gold,1792,2
497,2000-01-21 08:21:04,Silver,1992,2
498,2005-07-28 14:16:32,Silver,1751,1
499,1995-09-22 03:52:36,Gold,4537,2
500,1999-08-10 12:26:41,Silver,1420,2
501,2005-10-19 11:25:01,Silver,151,1
502,2006-12-26 00:39:53,Bronze,2843,1
503,2000-11-23 01:50:40,Silver,1922,1
504,2019-01-09 11:01:56,Silver,4958,3
505,2010-02-11 23:44:56,Silver,2275,3
506,1994-04-23 21:01:51,Gold,367,2
507,2003-12-05 09:30:07,Bronze,3259,2
508,2001-04-07 11:16:25,Bronze,3841,2
509,2019-05-24 01:31:34,Silver,4211,3
510,2001-08-07 03:38:17,Gold,1142,3
511,2003-07-14 16:08:12,Gold,295,2
512,1990-11-13 07:54:18,Gold,3462,2
513,2009-04-02 05:05:51,Bronze,3677,1
514,1997-05-23 20:17:57,Gold,1772,2
515,2002-11-21 15:48:37,Bronze,1962,3
516,2009-12-04 01:30:50,Bronze,2961,2
517,1992-10-04 18:59:51,Silver,3352,3
518,1991-09-18 15:49:11,Bronze,3097,3
519,2013-12-13 21:10:09,Gold,4254,3
520,1998-04-18 16:44:42,Silver,2012,1
521,1990-10-21 14:09:56,Bronze,707,3
522,2009-12-01 14:35:18,Gold,2809,1
523,2015-04-11 22:13:36,Bronze,1878,2
524,1993-05-03 06:55:05,Silver,3255,1
525,2012-02-16 22:25:55,Bronze,1340,1
526,1995-02-22 23:18:17,Bronze,587,2
527,1993-11-22 00:23:40,Gold,2726,3
528,2005-02-27 14:19:06,Silver,1500,1
529,2003-08-28 10:07:00,Gold,380,3
530,1995-11-25 19:28:24,Gold,2380,1
531,1999-09-11 05:24:22,Bronze,2808,1
532,2003-05-04 20:24:48,Silver,2827,1
533,2002-10-11 17:32:53,Bronze,4594,2
534,2001-12-08 17:08:00,Gold,4558,1
535,2004-04-09 05:53:10,Gold,2816,1
536,1992-04-17 23:57:57,Gold,495,2
537,2018-01-14 10:57:26,Gold,2352,3
538,1995-10-18 12:13:55,Silver,2156,2
539,1998-02-03 07:48:36,Silver,4385,1
540,2012-08-16 17:44:08,Gold,236,3
541,2004-02-15 08:47:08,Gold,866,2
542,2006-02-12 16:55:14,Silver,2856,3
543,1999-10-01 12:57:50,Gold,2829,1
544,2016-07-20 18:02:45,Bronze,1704,1
545,1998-06-20 10:10:28,Gold,111,2
546,2010-09-06 03:20:45,Gold,4135,2
547,2013-05-23 21:16:03,Silver,3333,2
548,1996-07-02 08:32:12,Gold,2905,1
549,2019-02-28 03:15:30,Silver,1349,1
550,2006-03-29 08:08:39,Bronze,3014,2
551,2003-09-22 22:39:21,Silver,1397,3
552,1992-11-04 21:23:32,Gold,2658,3
553,1998-10-12 23:38:16,Gold,2242,2
554,2008-10-29 08:40:22,Bronze,2426,3
555,1996-07-18 18:36:40,Silver,2295,3
556,2013-06-17 04:09:02,Gold,1456,2
557,2018-06-13 23:03:42,Silver,3559,1
558,2014-05-26 19:10:24,Silver,3605,1
559,1990-02-11 08:11:44,Gold,2807,2
560,1993-01-25 12:03:28,Gold,2221,2
561,1994-06-02 17:42:44,Gold,1458,2
562,2006-10-22 05:42:28,Silver,231,1
563,2005-06-01 02:33:05,Bronze,3410,1
564,2005-07-01 04:09:50,Bronze,5,2
565,1991-10-28 12:50:42,Bronze,31,1
566,2015-01-13 12:19:35,Gold,2549,3
567,1997-10-05 15:09:36,Bronze,4764,2
568,1994-10-15 02:08:45,Bronze,238,3
569,2007-09-10 04:25:31,Bronze,2495,2
570,1995-01-07 16:30:35,Silver,1773,1
571,1995-08-08 17:55:52,Gold,2448,3
572,2005-09-16 17:46:40,Gold,2711,2
573,2011-04-05 21:41:55,Silver,2945,1
574,1992-06-10 14:00:47,Bronze,1735,1
575,1990-03-28 01:24:03,Bronze,2288,1
576,2003-08-10 18:19:01,Bronze,3826,1
577,2016-09-05 03:37:52,Bronze,780,1
