farmer_id,Operation Name,origin_id
200,"Asociacion De Productores Agropecuarios Ecologicos ""COFFEE GUAY APAE""",349
201,ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS ECOLÓGICOS “COFFEE GUAY APAE”,1796
202,ASOCIACION DE PRODUCTORES AGROPECUARIOS EL PORVENIR DE CIGAKIATO,1008
203,Asociación De Productores Agropecuarios La Flor Del Bosque,1224
204,Asociación De Productores Agropecuarios La Flor Del Café,1705
205,Asociación De Productores Agropecuarios La Libertad Cuenca Perene – Rio Tambo -Satipo - II,1067
206,ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS LIMA COFFEE PERÚ,1406
207,Asociación de Productores Agropecuarios Los Pinos (ASOPRAP),1491
208,ASOCIACION DE PRODUCTORES AGROSOSTENIBLES VILLA ECOLOGICA,87
209,ASOCIACION DE PRODUCTORES AMAZONAS - ALTO MAYO,1333
210,Asociación De Productores Café De Lo Alto (APROCAL S De R.L.),1412
211,ASOCIACIÓN DE PRODUCTORES CAFÉ DEL SOL,1575
212,Asociacion De Productores Cafe Pakamuros,1721
213,"Asociación De Productores Cafés Especiales De Altura, Santa Maria. (CAFESA)",1585
214,Asociación De Productores Cafetaleros Agropecuarios “La Cuenca Del Marañón ” El Palto,1284
215,ASOCIACION DE PRODUCTORES CAFETALEROS ANDINOS SIERRA VERDE,356
216,Asociacion De Productores Cafetaleros Cocos Peru - Coffee,792
217,Asociacion De Productores Cafetaleros De La Cuenca Del Rio Marañon,964
218,Asociación De Productores Cafetaleros El Santuario,150
219,Asociación De Productores Cafetaleros El Santuario,1773
220,Asociación De Productores Cafetaleros Erapuca Aprocaer,807
221,Asociación De Productores Cafetaleros La Coipa Coffee,1261
222,Asociación De Productores Cafetaleros Selva Central - APROSELVA,1332
223,Asociación De Productores Cafetaleros Selva Central (APROSELVA),1402
224,Asociacion De Productores Cafetaleros SELVAEXPORT,539
225,Asociacion De Productores Cafetaleros Shipago Coffee Amazonas,139
226,Asociación De Productores Certificados Corquín (APROCERC),75
227,ASOCIACION DE PRODUCTORES CHIRINOS COFFEE PERU,1770
228,Asociación de Productores Comercializadores Agropecuarios y de Cafés Especiales SURCAFES,931
229,Asociacion De Productores De Agropecuarios Sostenibles Del Valle De Huayabamba - APAS,662
230,Asociación De Productores De Café “Visión Café Tours,1509
231,Asociación De Productores De Café Certificado Chiliquera. APROCACERCHIL S.A,26
232,Asociación De Productores De Café Corquín APROC,553
233,Asociación De Productores De Café De Altura,1364
234,Asociacion de Productores de Cafe de San Jose Poaquil - Azul,841
235,Asociacion De Productores De Café Del Campo “APROCAM”,53
236,Asociación de Productores de Café Diferenciados y Especiales de Guatemala,507
237,Asociacion De Productores De Café Ecologico - APROCAFE,776
238,Asociación De Productores De Café Ecológico Regional Larecaja - APCERL,1696
239,Asociación De Productores De Café Ecológico Regional Larecaja - APCERL,1035
240,Asociación de Productores de Café Especial de Dolores Tolima ALTAMICAFE,1069
241,Asociación de Productores de Café Especial de Guatemala - ASPROCEGUA -,504
242,Asociación de Productores de Café Especial Orquídea,837
243,Asociación De Productores De Café Pakamuros,929
244,Asociación De Productores De Café San Andres ASOPROSAN,73
245,ASOCIACIÓN DE PRODUCTORES DE CAFÉ VISIÓN CAFÉ,1282
246,Asociación De Productores De Cafés De Alta Calidad De Los Municipios De Cachipay Y Zipacon CAFESAC,509
247,ASOCIACIÓN DE PRODUCTORES DE CAFES ESPECIALES CAFÉ MONTAÑA,475
248,"Asociación de Productores de Cafés Especiales con fines ecológicos de Planadas - Tolima, Café del Macizo.",776
249,ASOCIACION DE PRODUCTORES DE CAFES ESPECIALES DEL ALTO SALDAÑA HERRERA RIOBLANCO TOLIMA ASOCEAS,330
250,ASOCIACION DE PRODUCTORES DE CAFES ORGANICOS Y CAFES ESPECIALES DE AMAZONAS - APROCOYCE AMAZONAS,441
251,ASOCIACION DE PRODUCTORES DE CAFES ORGANICOS Y CAFES ESPECIALES DE YANATILE - APROCOYCE-YANATILE,1404
252,ASOCIACION DE PRODUCTORES DE LA SIERRA NEVADA,558
253,Asociación De Productores De Origen Frutos,640
254,Asociación De Productores De Quinua Real Bolivia - APQUIRBOL,807
255,Asociación De Productores De Sistemas Agroforestales Con Cacao Orgánico - Olancho- APROSACAO,1182
256,Asociación De Productores Del Pueblo Arhuaco De La Sierra Nevada De Santa Marta - Asoarhuaco,166
257,ASOCIACIÓN DE PRODUCTORES DOS PINOS,206
258,Asociación De Productores Ecológicos “Café Del Alto Mayo” (APECAM).,968
259,ASOCIACIÓN DE PRODUCTORES ECOLÓGICOS AGROFORESTALES CALLE DE ORO,556
260,Asociación de Productores Ecológicos de Planadas,249
261,ASOCIACIÒN DE PRODUCTORES ECOLÒGICOS SOL DEL VRAE,1467
262,Asociacion De Productores Finkafe,1207
263,ASOCIACION DE PRODUCTORES FINKAFE,1094
264,Asociación De Productores Green Cofee Del Perene,888
265,Asociación De Productores Guaralape,902
266,ASOCIACION DE PRODUCTORES INDIGENAS SEYNEKUN,1419
267,ASOCIACION DE PRODUCTORES INTEGRAL Y SOSTENIBLE DE AMAZONAS- APRYSA,1176
268,ASOCIACION DE PRODUCTORES KEMITO - ENE,811
269,Asociación De Productores Orgánicos Arhuacos,851
270,Asociación De Productores Orgánicos Del Macizo,1185
271,Asociación De Productores Orgánicos Nuevo Futuro,429
272,Asociación de Productores Orgánicos y Agro sostenibles (APOYA),1656
273,Asociación De Productores San Isidro,1211
274,ASOCIACIÓN DE PRODUCTORES SELVA NORORIENTAL,1554
275,ASOCIACION DE PRODUCTORES SOSTENIBLES & SERVICIOS MULTIPLES DE CAFÉ Y CACAO - APROSEM CAFE & CACAO,888
276,Asociación De Productores Sostenibles El Ayni,1367
277,ASOCIACION DE PRODUCTORES VILLA RICA YANESHA,1442
278,Asociación De Productres Y Exportadores De Café Rodriguez De Mendoza (APROEXPORT),496
279,Asociación De Tecnólogos Y Productores Agropecuarios De Bilbao – ASOTBILBAO,1524
280,Asociacion Integral De Productores Ecologicos De Pumiri - AIPEP,402
281,Asociacion Integral De Productores Ecologicos De Pumiri - AIPEP,1723
282,Asociacion Integral De Productores Ecologicos De Pumiri - AIPEP,795
283,ASOCIACION MEDIOAMBIENTAL GRANOS DE ORO VERDE - AMEGOV,1618
284,Asociación Nacional Cocochana De Caficultores Ecológicos “ANACCAFE”,618
285,Asociación Santo Domingo De La Sierra,704
286,Asociación Sostenible De Productores De Guatemala-Ong (ASDECAFE),970
287,Asociación Sostenible De Productores De Guatemala-Ong (ASPROGUATE-ONG),682
288,Asociación Tayronaca,459
289,ASOCIACION VALLE GRANDE,679
290,ASOGRANCOFFEE,562
291,ASOPROCAFE ORGANICO SIERRA NEVADA,1717
292,Aspen Enterprises Ltd. Dba Aspen Beverage Group,655
293,Associacao Perolense De Fruticultores Frutiperola,1042
294,Atlantic (USA) Inc Dba Atlantic Cocoa Company,261
295,ATLANTIC COFFEE SOLUTIONS LLC,775
296,"Atlantic Specialty Coffee, Inc",817
297,"Atlas Coffee Importers, LLC",68
298,ATPROCAFES,536
299,Augusto Matheus Alves Almeida (Fazenda Caapuã),621
300,"Aung Nay Lin Htun Co., Ltd.",1093
301,Aunutra Industries Inc.,241
302,"AUROPURE LIFESCIENCE CO., LTD.",627
303,"Aurora Products, Inc.",79
304,Australian Botanical Products,1539
305,AVALMARTI S.A.,573
306,AYNI - ESCUELA DE NUTRICIÓN HOLÍSTICA,102
307,Azahar Coffee Company,919
308,B & R PACIFIC TRADING S.R.L.,255
309,B & W Specialty Coffee Co.,1387
310,Backyard Beans Coffee Co.,1663
311,"Bactolac Pharmaceutical, Inc. Aka  Atlantic Essential Products Inc",1295
312,BAF LOGISTIC E.I.R.L,1289
313,BALCANES COFFEE ESTATES  SA De CV,973
314,"Baltimore Coffee & Tea Co. Inc., The",155
315,"Balzac Bros. & Company, LLC",1626
316,Bamboo Juices LLC,1551
317,Barkume Coffee Export PLC,1198
318,Barrie House Coffees,340
319,Batdorf & Bronson Coffee Roasters,642
320,Batdorf And Bronson Coffee Roasters,1277
321,"Bay Area Coffee, Inc.",90
322,"Bay Area Coroasters, A California Corporation",781
323,Bayside Roasters Coffee Co,1141
324,BBTC HERKULU TEA ESTATE,23
325,Be Green Trading SA,808
326,"Beak & Skiff Apple Farms, Inc. - Cider Mill",619
327,Bean And Brew Coffee And Tea,1335
328,Beanstock Coffee Roasters LLC,1294
329,"Bear Mountain Coffee Roasters, Inc.",1598
330,Bekele Bedecha Coffee Producer & Exporter,1184
331,Bekele Bedecha Dry Mill,1616
332,Bela Epoca Coffees Ltda - ME,185
333,"Belarminio Ramírez E Hijos, S.A.",1154
334,Belcampo Belize Ltd. Dba Copal Tree Farms,36
335,Bell Flavors And Fragrances,692
336,BELLA ROSA COFFEE COMPANY INC,699
337,Bell-Carter Packaging,324
338,Bellingham Coffee Roasters,1768
339,Bench Maji Forest Coffee Producer Farmers',163
340,Bendaña Mcewan & Asociados S.A,363
341,BENDAÑA Mcewan & ASOCIADOS/BENEFICIO SAN MIGUEL ARCANGEL,820
342,Benecke Coffee Gmbh & Co. KG,360
343,BENEFICIADORA NORTEÑA DE CAFÉ S.A,280
344,BENEFICIO CAFÉ ECPP HONDURAS,631
345,BENEFICIO CAFÉ ECPP HONDURAS,89
346,Beneficio Cuzcachapa De R.L.,135
347,Beneficio de Café INLOHER,934
348,Beneficio De Cafe Montecristo Becamo,722
349,Beneficio De Café Montecristo S.A DE C.V,1206
350,Beneficio De Café Montecristo S.A DE C.V,675
351,Beneficio de Exportación de Occidente S. De R. L de C.V. (BEO),435
352,Beneficio De Exportación De Occidente S. De R.L. DE C.V.,1057
353,Beneficio De Exportación De Occidente S. De R.L. DE C.V.,1065
354,Beneficio De Exportación De Occidente S. De R.L. DE C.V.,1007
355,Beneficio El Triunfo,1187
356,Beneficio La Dalia,1370
357,Beneficio Las Brisas,682
358,Beneficio San Marcos S.A De C.V,301
359,Beneficio San Marcos S.A De C.V,1763
360,Beneficio San Marcos S.A De C.V,1292
361,Beneficio Santa Isabel Y Cia. Ltda. / CAMEC,594
362,Beneficio Santa Rosa S.A.,51
363,Beneficio Santa Rosa S.A.,1255
364,Beneficio Santa Rosa S.A.,879
365,"Beneficio Seco De PRODECOOP, R.L. (Las Segovias)",637
366,"Beneficio Seco La Concha, S.A.",658
367,Beneficio Solcafe S.A,278
368,Beneficio Solcafe S.A,747
369,Beneficio Solcafe S.A,1761
370,Ben's Beans LLC,1462
371,"Bent Tree Coffee Roasters, LLC",954
372,Benton Thomas,83
373,Beraca USA NY CORP,462
374,BERACA USA NY CORP,320
375,Beratu Jebicho,761
376,BEST FORMULATIONS INC.,856
377,Best Ground International SA De CV,1543
378,Better Buzz Coffee Company,562
379,Betterbody Foods And Nutrition,247
380,BG Spirits S.A. De C.V.,459
381,"Bhakti, Inc.",214
382,BICAFE HONDURAS S.A DE C.V,174
383,"Big Bang Coffee Roasters, LLC",440
384,Big Barn Coffee Co.,519
385,Big Bend Coffee Roasters,392
386,BIG RIVER COFFEE COMPANY,588
387,Biggi's Organic Breads,141
388,Bio Foods (Pvt) Ltd.,967
389,Bioagaves De La Costa S.A. De C.V.,1145
390,Biosfair Agroexport Nicaragua S.A,1153
391,Biosfair Agroexport Nicaragua S.A,351
392,Biosfair Agroexport S.A.,191
393,"Birch Guys, LLC",1772
394,"Bird Rock Coffee Roasters, Inc.",908
395,BIRDING COFFEE S.A De C.V,1701
396,"BJC Mega Market Co., Ltd.",1022
397,Black Coffee Roasting Company,923
398,"Black Drop Coffee, Inc.",1152
399,Black River Roasters LLC,339
400,Blanchard's Coffee Co.,1606
401,"Blue Bottle Coffee, LLC",1005
402,"Blue Pacific Flavors, Inc.",1740
403,Blue Star Coffee Roasters,195
404,BODHI LEAF TRADING,52
405,Bolthouse,340
406,"BONA FIDE BREWING COMPANY, LLC",521
407,BONCAFE S.A,1137
408,BONCAFE S.A,1075
409,BONCAFE S.A,457
410,Bongo Java Roasting Co.,52
411,BOONMEE DOILUANG COFFEE-TEA FACTORY,1673
412,BOONMEE THATIP,49
413,Booskerdoo Coffee LLC,393
414,Bootstrap Coffee Roasters,10
415,BOTANICALINK CO.LTD.,635
416,Botelho Comércio E Industria Ltda,567
417,Bourbon Specialty Coffees S/A,88
418,Bourbon Specialty Coffees S/A,72
419,"Bramo, LLC",573
420,Brasil Espresso Comercio Atacadista Ltda,1413
421,"Brazilian Specialty Coffees, LLC",556
422,BRAZUKA COFFEE ROASTERS LLC,1145
423,Brisk Coffee Roasters USA DBA 22nd Street Coffee Roasters,1722
424,BRITT BRANDS COLOMBIA S.A.S,1195
425,"BRITT BRANDS PERU, SAC",1619
426,Broadway Roasting Company,69
427,Brothers International Desserts Inc.,919
428,Bruce D. Corker,1202
429,B-Side Coffee LLC,388
430,"Buenos Aires Las Marias, S.A.",1631
431,Bufumbo Organic Farmers Association (BOFA),994
432,Bugangari Women Coffee Factory,326
433,Bukalasa Coffee Factory,1634
434,BUKONZO JOINT COOPERATIVE MICROFINANCE SOCIETY,1037
435,Bukonzo Organic Farmers Cooperative Union,1514
436,"Bumblebar, Inc.",1530
437,"Buono (Thailand) Co., Ltd.",486
438,Burgies Coffee Roasting LLC,1636
439,Burka Galeti Farmers’ Cooperative Union,119
440,"Burke Brands, LLC",400
441,Burlap And Bean,676
442,Bwentama Coffee Factory,815
443,"BYO Operations LLC, Dba Beyond Organic Nutritionals",1047
444,"BYO Operations, LLC Dba Beyond Organic Nutritionals",588
445,C & C Latin America Imports Dba Selvasur Imports,687
446,"C And L, LLC.",90
447,C. I. LOHAS BEANS S.A.S,159
448,C. Steinweg-Handelsveem BV,705
449,C.A.C ALTO URUBAMBA LTDA.,957
450,C.I BIOCOFFEE SIERRA S.A.S,423
451,CA Enterprises SA; Twin Engine Coffee,910
452,"Cable Car Delights, Inc.",766
453,CAC Aguilayoc Ltda,139
454,CAC Bagua Grande Ltda.,1059
455,CADAPE PERU S.A.,1355
456,"CADECO INDUSTRIES, INC.",1425
457,"CADECO INDUSTRIES, INC.",1125
458,Cadence Cold Brew Coffee,1166
459,"CAFÉ ALMA DE CHIAPAS, S. DE R.L",1398
460,"CAFÉ AROMAS ZAMORANO ""CAZ""",252
461,Café Azul Meambar S.A.DE C.V,1125
462,Café Azul Meambar S.A.DE C.V,871
463,Café Azul Meambar S.A.DE C.V,992
464,Café Bom Dia Ltda.,1076
465,Cafe Brisa Serena Unipessoal Lda,810
466,CAFE BRITT COSTA RICA S.A.,641
467,Cafe Campesino,1755
468,Café Capris S.A,461
469,CAFÉ CHAC S. de R.L de C.V,560
470,CAFÉ COLSUAVES S.A.S.,911
471,Café De Exportación S.A.,269
472,Café De Exportación S.A.,1246
473,Café De Exportación S.A.,556
474,Café De Exportación S.A. Occidente,1295
475,"Cafe De Exportacion SA
Finca Comercial Acosta (Finca CADEXSA)",938
476,"Cafe De Exportacion SA
Finca Comercial Acosta (Finca CADEXSA)",1715
477,Cafe de Juquila,490
478,CAFE DE SANTA BARBARA SAS,512
479,CAFÉ DEVOTION S.A.S.,209
480,Café Do Mercado - Comércio De Cafés Ltda EPP,203
481,Café El Bosque S.R.L.,1461
482,Café Espiritual S.P.R. De R.L.,121
483,"CAFE FINCA EL CHANGO, RANCHO POTRERO S.C. DE R.L. DE C.V.",557
484,"Café Gourmet Sierra Azul, S.C.",193
485,CAFÉ GÜSTAFFSON SAC,963
486,"Cafe Imports Fulfillment, LLC",1176
487,"Café Justo, S. P. R. De R. L.",1116
488,Café Kotowa SA,589
489,Café Kotowa SA,1479
490,Café Kreyol,1593
491,Café Lava Java,652
492,Café Lava Java,418
493,"Café Lobo, LLC DBA Green Tree Coffee & Tea",1254
494,Café Marquense S.A. De C.V.,1012
495,Café Marquense S.A. De C.V.,1779
496,Café Marquense S.A. De C.V.,760
497,Café Montaña Roja S.A.S.,116
498,Café Monteverde - Asociación De Productores Agropecuarios Valle Verde De Rodríguez De Mendoza,570
499,Cafe Moto,1623
500,CAFÉ MULATO ORGÁNICO S.A.S.,881
501,Café Nor Nicaragua S.A,805
502,Café Nor Nicaragua S.A.,1557
503,Café Orgánico Don Feliciano E.I.R.L,1249
504,Café Orgánico Márcala S.A. (COMSA),1237
505,Café Orgánico Márcala S.A. (COMSA),1583
506,Café Orgánico Márcala S.A. (COMSA),1778
507,Café Organico Marcala S.A. COMSA,988
508,CAFE ORGANICO MONTES DE CRISTO S.A.,3
509,CAFÉ ORGÁNICO RENACIMIENTO S.C. DE R.L. DE C.V.,400
510,Cafe Orgánico Sostenible El Jilguero S.A De C.V,1131
511,Cafe Orgánico Sostenible El Jilguero S.A De C.V,1055
512,Café Prevenir S.P.R De R.L.,826
513,CAFE QUINDIO S.A.S.,781
514,Café Roaster & Lab S.A.C.,1212
